ISO3,Country,gnipc_2020,gnipc_2021,gnipc_2020,gnipc_2021
AFG,Afghanistan,1.998,1.824,"1997,8521490","1824,1909150"
AGO,Angola,5.593,5.466,"5593,1420600","5465,6177910"
ALB,Albania,12.997,14.131,"12996,7629100","14131,1103900"
AND,Andorra,47.879,51.167,"47878,6666400","51166,6266100"
ARE,United Arab Emirates,63.016,62.574,"63016,4012200","62573,5918100"
ARG,Argentina,19.178,20.925,"19178,3318400","20925,2681400"
ARM,Armenia,12.454,13.158,"12454,1450800","13157,9939000"
ATG,Antigua and Barbuda,16.265,16.792,"16265,2951500","16792,3659500"
AUS,Australia,47.078,49.238,"47078,2444600","49238,4333500"
AUT,Austria,51.574,53.619,"51574,1830600","53618,6713800"
AZE,Azerbaijan,13.568,14.257,"13567,9371000","14256,7445600"
BDI,Burundi,736,732,"735,7371044","731,7867086"
BEL,Belgium,49.392,52.293,"49391,9968400","52293,3997700"
BEN,Benin,3.288,3.409,"3288,4706050","3408,9659230"
BFA,Burkina Faso,2.039,2.118,"2038,5132020","2117,9159160"
BGD,Bangladesh,5.108,5.472,"5108,1605450","5472,1047810"
BGR,Bulgaria,22.020,23.079,"22020,4939300","23078,9559500"
BHR,Bahrain,39.030,39.497,"39030,3857100","39497,2478800"
BHS,Bahamas,29.191,30.486,"29190,8387000","30486,1842900"
BIH,Bosnia and Herzegovina,14.382,15.242,"14381,6367600","15241,9146500"
BLR,Belarus,18.308,18.849,"18307,7047300","18848,9670400"
BLZ,Belize,5.897,6.309,"5897,1504570","6309,0997780"
BOL,Bolivia (Plurinational State of),7.756,8.111,"7756,1772940","8111,1901940"
BRA,Brazil,13.791,14.370,"13790,7114300","14369,8884800"
BRB,Barbados,12.167,12.306,"12167,2201200","12306,3410000"
BRN,Brunei Darussalam,65.078,64.490,"65077,7144600","64489,5395400"
BTN,Bhutan,9.898,9.438,"9898,2502700","9437,5415120"
BWA,Botswana,14.696,16.198,"14696,0270100","16198,3184100"
CAF,Central African Republic,974,966,"974,4816457","966,0586107"
CAN,Canada,45.038,46.808,"45038,0730200","46807,9861900"
CHE,Switzerland,65.011,66.933,"65011,2171100","66933,0045400"
CHL,Chile,22.286,24.563,"22285,8602600","24563,2448600"
CHN,China,16.201,17.504,"16201,3529700","17504,3996900"
CIV,C̫te d'Ivoire,5.026,5.217,"5026,3871690","5217,4485160"
CMR,Cameroon,3.586,3.621,"3586,2527120","3620,9324080"
COD,Congo (Democratic Republic of the),1.051,1.076,"1050,7787060","1076,0987810"
COG,Congo,2.966,2.889,"2966,2698170","2889,2835210"
COL,Colombia,13.185,14.384,"13184,9589400","14384,3566600"
COM,Comoros,3.156,3.142,"3156,0414540","3142,0641190"
CPV,Cabo Verde,5.898,6.230,"5897,6767790","6230,2001990"
CRI,Costa Rica,18.754,19.974,"18753,9108800","19974,2735800"
CUB,Cuba,7.809,7.879,"7809,1711810","7878,8474820"
CYP,Cyprus,36.519,38.188,"36519,2966800","38188,4215200"
CZE,Czechia,37.551,38.745,"37551,0704900","38745,2138600"
DEU,Germany,53.078,54.534,"53077,5436400","54534,2168200"
DJI,Djibouti,4.901,5.025,"4901,1442740","5024,9939440"
DMA,Dominica,11.133,11.488,"11133,4184900","11487,6242200"
DNK,Denmark,58.144,60.365,"58143,7730600","60364,7859500"
DOM,Dominican Republic,16.165,17.990,"16164,8995200","17989,6003700"
DZA,Algeria,10.530,10.800,"10530,2991400","10800,2254600"
ECU,Ecuador,10.032,10.312,"10031,6690600","10311,6327300"
EGY,Egypt,11.581,11.732,"11581,0798100","11731,6905600"
ERI,Eritrea,1.706,1.729,"1706,0264100","1728,7426670"
ESP,Spain,36.516,38.354,"36515,9600700","38353,6016400"
EST,Estonia,35.132,38.048,"35131,8212800","38048,2637200"
ETH,Ethiopia,2.280,2.361,"2279,6371860","2361,0696040"
FIN,Finland,47.946,49.452,"47946,3285400","49452,1667200"
FJI,Fiji,10.452,9.980,"10452,2226400","9980,1108660"
FRA,France,43.048,45.937,"43047,8308700","45937,0527300"
FSM,Micronesia (Federated States of),3.827,3.696,"3826,8629120","3696,1739450"
GAB,Gabon,13.415,13.367,"13414,5730200","13366,9345500"
GBR,United Kingdom,42.375,45.225,"42374,7622000","45224,7656400"
GEO,Georgia,13.330,14.664,"13329,5302800","14664,1682500"
GHA,Ghana,5.601,5.745,"5601,4281970","5744,5040170"
GIN,Guinea,2.440,2.481,"2440,0159620","2480,8871820"
GMB,Gambia,2.119,2.172,"2118,7826280","2172,2076640"
GNB,Guinea-Bissau,1.880,1.908,"1879,7242830","1908,2415900"
GNQ,Equatorial Guinea,12.926,12.074,"12925,8711400","12073,9599300"
GRC,Greece,26.681,29.002,"26680,8879600","29002,4854500"
GRD,Grenada,12.841,13.484,"12840,5217500","13483,5774000"
GTM,Guatemala,8.241,8.723,"8241,4443610","8723,2853170"
GUY,Guyana,18.788,22.465,"18788,0177900","22464,6573400"
HKG,"Hong Kong, China (SAR)",58.644,62.607,"58643,8589500","62606,8454000"
HND,Honduras,4.792,5.298,"4792,0241220","5297,9553010"
HRV,Croatia,27.185,30.132,"27185,2505400","30132,2881400"
HTI,Haiti,2.940,2.848,"2939,8631030","2847,5007460"
HUN,Hungary,30.487,32.789,"30487,0468400","32789,0106300"
IDN,Indonesia,11.142,11.466,"11141,5683200","11466,0683600"
IND,India,6.107,6.590,"6107,4939490","6589,9800370"
IRL,Ireland,67.736,76.169,"67735,8762000","76168,9844300"
IRN,Iran (Islamic Republic of),12.624,13.001,"12624,4124100","13000,7117000"
IRQ,Iraq,9.663,9.977,"9663,0076440","9977,2490730"
ISL,Iceland,54.141,55.782,"54141,4547000","55782,0498100"
ISR,Israel,39.015,41.524,"39015,0754500","41523,7431900"
ITA,Italy,39.901,42.840,"39900,6327300","42839,5144100"
JAM,Jamaica,8.475,8.834,"8474,8156870","8834,4756700"
JOR,Jordan,9.789,9.924,"9788,7215550","9923,7149740"
JPN,Japan,41.487,42.274,"41487,0510300","42274,2913400"
KAZ,Kazakhstan,23.325,23.943,"23325,0038900","23942,8183700"
KEN,Kenya,4.267,4.474,"4266,9674660","4473,5703440"
KGZ,Kyrgyzstan,4.495,4.566,"4494,5007000","4566,3038310"
KHM,Cambodia,4.033,4.079,"4032,7514350","4078,6971540"
KIR,Kiribati,4.074,4.063,"4074,1154860","4062,5860340"
KNA,Saint Kitts and Nevis,24.475,23.358,"24474,8816200","23358,3321200"
KOR,Korea (Republic of),42.698,44.501,"42698,1280200","44500,9318700"
